Aba,Fejér
Abádszalók,Jász-Nagykun-Szolnok
Abaliget,1
Abasár,Heves
Abaújalpár,Borsod-Abaúj-Zemplén
Abaújkér,Borsod-Abaúj-Zemplén
Abaújlak,Borsod-Abaúj-Zemplén
Abaújszántó,Borsod-Abaúj-Zemplén
Abaújszolnok,Borsod-Abaúj-Zemplén
Abaújvár,Borsod-Abaúj-Zemplén
Abda,Győr-Moson-Sopron
Abod,Borsod-Abaúj-Zemplén
Abony,Pest
Ábrahámhegy,Veszprém
Ács,Komárom-Esztergom
Acsa,Pest
Acsád,Vas
Acsalag,Győr-Moson-Sopron
Ácsteszér,Komárom-Esztergom
Adács,Heves
Ádánd,Somogy
Adásztevel,Veszprém
Adony,Fejér
Adorjánháza,Veszprém
Adorjás,1
Ág,1
Ágasegyháza,Bács-Kiskun
Ágfalva,Győr-Moson-Sopron
Aggtelek,Borsod-Abaúj-Zemplén
Agyagosszergény,Győr-Moson-Sopron
Ajak,Szabolcs-Szatmár-Bereg
Ajka,Veszprém
Aka,Komárom-Esztergom
Akasztó,Bács-Kiskun
Alacska,Borsod-Abaúj-Zemplén
Alap,Fejér
Alattyán,Jász-Nagykun-Szolnok
Albertirsa,Pest
Alcsútdoboz,Fejér
Aldebrő,Heves
Algyő,Csongrád-Csanád
Alibánfa,Zala
Almamellék,1
Almásfüzitő,Komárom-Esztergom
Almásháza,Zala
Almáskamarás,Békés
Almáskeresztúr,1
Álmosd,Hajdú-Bihar
Alsóberecki,Borsod-Abaúj-Zemplén
Alsóbogát,Somogy
Alsódobsza,Borsod-Abaúj-Zemplén
Alsógagy,Borsod-Abaúj-Zemplén
Alsómocsolád,1
Alsónána,Tolna
Alsónémedi,Pest
Alsónemesapáti,Zala
Alsónyék,Tolna
Alsóörs,Veszprém
Alsópáhok,Zala
Alsópetény,Nógrád
Alsórajk,Zala
Alsóregmec,Borsod-Abaúj-Zemplén
Alsószenterzsébet,Zala
Alsószentiván,Fejér
Alsószentmárton,1
Alsószölnök,Vas
Alsószuha,Borsod-Abaúj-Zemplén
Alsótelekes,Borsod-Abaúj-Zemplén
Alsótold,Nógrád
Alsóújlak,Vas
Alsóvadász,Borsod-Abaúj-Zemplén
Alsózsolca,Borsod-Abaúj-Zemplén
Ambrózfalva,Csongrád-Csanád
Anarcs,Szabolcs-Szatmár-Bereg
Andocs,Somogy
Andornaktálya,Heves
Andrásfa,Vas
Annavölgy,Komárom-Esztergom
Apácatorna,Veszprém
Apagy,Szabolcs-Szatmár-Bereg
Apaj,Pest
Aparhant,Tolna
Apátfalva,Csongrád-Csanád
Apátistvánfalva,Vas
Apátvarasd,1
Apc,Heves
Áporka,Pest
Apostag,Bács-Kiskun
Aranyosapáti,Szabolcs-Szatmár-Bereg
Aranyosgadány,1
Arka,Borsod-Abaúj-Zemplén
Arló,Borsod-Abaúj-Zemplén
Arnót,Borsod-Abaúj-Zemplén
Ároktő,Borsod-Abaúj-Zemplén
Árpádhalom,Csongrád-Csanád
Árpás,Győr-Moson-Sopron
Ártánd,Hajdú-Bihar
Ásotthalom,Csongrád-Csanád
Ásványráró,Győr-Moson-Sopron
Aszaló,Borsod-Abaúj-Zemplén
Ászár,Komárom-Esztergom
Aszód,Pest
Aszófő,Veszprém
Áta,1
Átány,Heves
Atkár,Heves
Attala,Tolna
Babarc,1
Babarcszőlős,1
Babócsa,Somogy
Bábolna,Komárom-Esztergom
Bábonymegyer,Somogy
Babosdöbréte,Zala
Babót,Győr-Moson-Sopron
Bácsalmás,Bács-Kiskun
Bácsbokod,Bács-Kiskun
Bácsborsód,Bács-Kiskun
Bácsszentgyörgy,Bács-Kiskun
Bácsszőlős,Bács-Kiskun
Badacsonytomaj,Veszprém
Badacsonytördemic,Veszprém
Bag,Pest
Bagamér,Hajdú-Bihar
Baglad,Zala
Bagod,Zala
Bágyogszovát,Győr-Moson-Sopron
Baj,Komárom-Esztergom
Baja,Bács-Kiskun
Bajánsenye,Vas
Bajna,Komárom-Esztergom
Bajót,Komárom-Esztergom
Bak,Zala
Bakháza,Somogy
Bakóca,1
Bakonszeg,Hajdú-Bihar
Bakonya,1
Bakonybánk,Komárom-Esztergom
Bakonybél,Veszprém
Bakonycsernye,Fejér
Bakonygyirót,Győr-Moson-Sopron
Bakonyjákó,Veszprém
Bakonykoppány,Veszprém
Bakonykúti,Fejér
Bakonynána,Veszprém
Bakonyoszlop,Veszprém
Bakonypéterd,Győr-Moson-Sopron
Bakonypölöske,Veszprém
Bakonyság,Veszprém
Bakonysárkány,Komárom-Esztergom
Bakonyszentiván,Veszprém
Bakonyszentkirály,Veszprém
Bakonyszentlászló,Győr-Moson-Sopron
Bakonyszombathely,Komárom-Esztergom
Bakonyszücs,Veszprém
Bakonytamási,Veszprém
Baks,Csongrád-Csanád
Baksa,1
Baktakék,Borsod-Abaúj-Zemplén
Baktalórántháza,Szabolcs-Szatmár-Bereg
Baktüttös,Zala
Balajt,Borsod-Abaúj-Zemplén
Balassagyarmat,Nógrád
Balástya,Csongrád-Csanád
Balaton,Heves
Balatonakali,Veszprém
Balatonakarattya,Veszprém
Balatonalmádi,Veszprém
Balatonberény,Somogy
Balatonboglár,Somogy
Balatoncsicsó,Veszprém
Balatonederics,Veszprém
Balatonendréd,Somogy
Balatonfenyves,Somogy
Balatonfőkajár,Veszprém
Balatonföldvár,Somogy
Balatonfüred,Veszprém
Balatonfűzfő,Veszprém
Balatongyörök,Zala
Balatonhenye,Veszprém
Balatonkenese,Veszprém
Balatonkeresztúr,Somogy
Balatonlelle,Somogy
Balatonmagyaród,Zala
Balatonmáriafürdő,Somogy
Balatonőszöd,Somogy
Balatonrendes,Veszprém
Balatonszabadi,Somogy
Balatonszárszó,Somogy
Balatonszemes,Somogy
Balatonszentgyörgy,Somogy
Balatonszepezd,Veszprém
Balatonszőlős,Veszprém
Balatonudvari,Veszprém
Balatonújlak,Somogy
Balatonvilágos,Somogy
Balinka,Fejér
Balkány,Szabolcs-Szatmár-Bereg
Ballószög,Bács-Kiskun
Balmazújváros,Hajdú-Bihar
Balogunyom,Vas
Balotaszállás,Bács-Kiskun
Balsa,Szabolcs-Szatmár-Bereg
Bálványos,Somogy
Bana,Komárom-Esztergom
Bánd,Veszprém
Bánfa,1
Bánhorváti,Borsod-Abaúj-Zemplén
Bánk,Nógrád
Bánokszentgyörgy,Zala
Bánréve,Borsod-Abaúj-Zemplén
Bár,1
Barabás,Szabolcs-Szatmár-Bereg
Baracs,Fejér
Baracska,Fejér
Báránd,Hajdú-Bihar
1hídvég,1
1jenő,1
1szentgyörgy,1
Barbacs,Győr-Moson-Sopron
Barcs,Somogy
Bárdudvarnok,Somogy
Barlahida,Zala
Bárna,Nógrád
Barnag,Veszprém
Bársonyos,Komárom-Esztergom
Basal,1
Baskó,Borsod-Abaúj-Zemplén
Báta,Tolna
Bátaapáti,Tolna
Bátaszék,Tolna
Baté,Somogy
Bátmonostor,Bács-Kiskun
Bátonyterenye,Nógrád
Bátor,Heves
Bátorliget,Szabolcs-Szatmár-Bereg
Battonya,Békés
Bátya,Bács-Kiskun
Batyk,Zala
Bázakerettye,Zala
Bazsi,Veszprém
Béb,Veszprém
Becsehely,Zala
Becske,Nógrád
Becskeháza,Borsod-Abaúj-Zemplén
Becsvölgye,Zala
Bedegkér,Somogy
Bedő,Hajdú-Bihar
Bejcgyertyános,Vas
Békás,Veszprém
Bekecs,Borsod-Abaúj-Zemplén
Békés,Békés
Békéscsaba,Békés
Békéssámson,Békés
Békésszentandrás,Békés
Bekölce,Heves
Bélapátfalva,Heves
Bélavár,Somogy
Belecska,Tolna
Beled,Győr-Moson-Sopron
Beleg,Somogy
Belezna,Zala
Bélmegyer,Békés
Beloiannisz,Fejér
Belsősárd,Zala
Belvárdgyula,1
Benk,Szabolcs-Szatmár-Bereg
Bénye,Pest
Bér,Nógrád
Bérbaltavár,Vas
Bercel,Nógrád
Beregdaróc,Szabolcs-Szatmár-Bereg
Beregsurány,Szabolcs-Szatmár-Bereg
Berekböszörmény,Hajdú-Bihar
Berekfürdő,Jász-Nagykun-Szolnok
Beremend,1
Berente,Borsod-Abaúj-Zemplén
Beret,Borsod-Abaúj-Zemplén
